Sample temperature (C),Heat flow (mW)
110.691,-1.31235
110.74,-1.31261
110.792,-1.31286
110.843,-1.3131
110.89,-1.31334
110.938,-1.31358
110.99,-1.3138
111.038,-1.31402
111.092,-1.31423
111.137,-1.31444
111.19,-1.31465
111.237,-1.31485
111.29,-1.31505
111.34,-1.31526
111.392,-1.31546
111.439,-1.31568
111.493,-1.31589
111.537,-1.31612
111.59,-1.31635
111.639,-1.31659
111.687,-1.31684
111.743,-1.31709
111.789,-1.31734
111.838,-1.31759
111.891,-1.31784
111.943,-1.31809
111.988,-1.31834
112.038,-1.31859
112.088,-1.31883
112.14,-1.31908
112.191,-1.31932
112.241,-1.31957
112.289,-1.31981
112.339,-1.32006
112.389,-1.32032
112.441,-1.32057
112.49,-1.32084
112.539,-1.3211
112.591,-1.32138
112.636,-1.32166
112.691,-1.32194
112.738,-1.32224
112.791,-1.32253
112.838,-1.32282
112.891,-1.32311
112.938,-1.3234
112.989,-1.32369
113.035,-1.32396
113.091,-1.32423
113.136,-1.32448
113.185,-1.32472
113.239,-1.32496
113.287,-1.32519
113.336,-1.32541
113.39,-1.32563
113.436,-1.32585
113.49,-1.32605
113.538,-1.32626
113.59,-1.32645
113.636,-1.32664
113.688,-1.32683
113.737,-1.32702
113.788,-1.3272
113.833,-1.32737
113.887,-1.32755
113.936,-1.32774
113.982,-1.32792
114.035,-1.32811
114.084,-1.32831
114.134,-1.32851
114.189,-1.32872
114.235,-1.32893
114.288,-1.32914
114.335,-1.32936
114.391,-1.32958
114.44,-1.32979
114.485,-1.33001
114.536,-1.33022
114.589,-1.33044
114.637,-1.33066
114.688,-1.33089
114.734,-1.33112
114.783,-1.33136
114.835,-1.3316
114.886,-1.33186
114.936,-1.33212
114.985,-1.3324
115.034,-1.33268
115.087,-1.33297
115.137,-1.33326
115.184,-1.33356
115.234,-1.33386
115.286,-1.33415
115.333,-1.33444
115.386,-1.33472
115.435,-1.33499
115.488,-1.33524
115.538,-1.33549
115.583,-1.33573
115.63,-1.33596
115.686,-1.33618
115.737,-1.3364
115.783,-1.33662
115.833,-1.33684
115.882,-1.33706
115.932,-1.33728
115.983,-1.33751
116.035,-1.33774
116.086,-1.33797
116.131,-1.33821
116.184,-1.33846
116.234,-1.33871
116.284,-1.33897
116.338,-1.33923
116.381,-1.33948
116.431,-1.33974
116.484,-1.34
116.531,-1.34025
116.584,-1.3405
116.637,-1.34074
116.684,-1.34098
116.734,-1.34121
116.783,-1.34144
116.837,-1.34166
116.884,-1.34187
116.933,-1.34209
116.986,-1.3423
117.033,-1.34252
117.084,-1.34273
117.134,-1.34295
117.181,-1.34316
117.236,-1.34338
117.279,-1.3436
117.333,-1.34382
117.381,-1.34403
117.431,-1.34424
117.483,-1.34444
117.533,-1.34463
117.58,-1.34481
117.633,-1.34499
117.682,-1.34517
117.735,-1.34534
117.78,-1.34552
117.831,-1.3457
117.884,-1.34588
117.931,-1.34606
117.984,-1.34625
118.033,-1.34645
118.081,-1.34665
118.131,-1.34685
118.185,-1.34707
118.23,-1.34728
118.286,-1.34749
118.333,-1.34771
118.379,-1.34792
118.434,-1.34814
118.485,-1.34835
118.532,-1.34856
118.584,-1.34877
118.632,-1.34899
118.685,-1.34921
118.735,-1.34943
118.782,-1.34967
118.832,-1.34992
118.884,-1.35018
118.933,-1.35044
118.987,-1.35071
119.034,-1.35098
119.084,-1.35126
119.131,-1.35153
119.181,-1.3518
119.233,-1.35207
119.286,-1.35234
119.337,-1.3526
119.384,-1.35286
119.433,-1.35312
119.482,-1.35338
119.535,-1.35363
119.585,-1.35388
119.637,-1.35412
119.687,-1.35435
119.731,-1.35457
119.784,-1.35479
119.837,-1.355
119.882,-1.3552
119.932,-1.3554
119.982,-1.3556
120.029,-1.3558
120.081,-1.35601
120.127,-1.35621
120.178,-1.35642
120.226,-1.35663
120.278,-1.35684
120.331,-1.35705
120.377,-1.35726
120.431,-1.35748
120.475,-1.3577
120.528,-1.35792
120.577,-1.35814
120.631,-1.35837
120.677,-1.35859
120.728,-1.35882
120.779,-1.35904
120.827,-1.35927
120.881,-1.35949
120.929,-1.35971
120.983,-1.35994
121.033,-1.36016
121.077,-1.36038
121.13,-1.3606
121.179,-1.36082
121.23,-1.36103
121.28,-1.36124
121.327,-1.36145
121.382,-1.36165
121.43,-1.36186
121.483,-1.36207
121.533,-1.36227
121.582,-1.36248
121.629,-1.36269
121.682,-1.36291
121.731,-1.36313
121.782,-1.36336
121.829,-1.36359
121.88,-1.36381
121.93,-1.36404
121.982,-1.36426
122.026,-1.36447
122.081,-1.36469
122.128,-1.36489
122.178,-1.36509
122.23,-1.36529
122.283,-1.36548
122.329,-1.36568
122.382,-1.36588
122.429,-1.36608
122.475,-1.3663
122.526,-1.36652
122.581,-1.36676
122.63,-1.367
122.676,-1.36725
122.73,-1.3675
122.78,-1.36776
122.831,-1.36802
122.88,-1.36828
122.927,-1.36853
122.975,-1.36878
123.025,-1.36903
123.08,-1.36927
123.131,-1.36951
123.175,-1.36974
123.223,-1.36998
123.272,-1.3702
123.326,-1.37043
123.38,-1.37066
123.424,-1.37089
123.473,-1.37112
123.52,-1.37135
123.575,-1.37159
123.629,-1.37182
123.68,-1.37205
123.725,-1.37227
123.776,-1.37247
123.828,-1.37268
123.875,-1.37287
123.927,-1.37306
123.981,-1.37325
124.023,-1.37344
124.078,-1.37362
124.125,-1.37381
124.177,-1.37399
124.227,-1.37417
124.275,-1.37435
124.325,-1.37454
124.38,-1.37472
124.426,-1.37491
124.476,-1.3751
124.523,-1.37528
124.573,-1.37548
124.623,-1.37567
124.676,-1.37587
124.725,-1.37608
124.772,-1.37629
124.82,-1.37651
124.872,-1.37673
124.923,-1.37694
124.975,-1.37715
125.024,-1.37736
125.076,-1.37756
125.123,-1.37776
125.177,-1.37795
125.226,-1.37815
125.278,-1.37835
125.323,-1.37855
125.374,-1.37875
125.426,-1.37895
125.476,-1.37916
125.525,-1.37937
125.578,-1.37958
125.625,-1.37979
125.674,-1.38001
125.724,-1.38023
125.774,-1.38046
125.824,-1.38068
125.873,-1.38091
125.922,-1.38113
125.973,-1.38135
126.021,-1.38157
126.072,-1.38179
126.125,-1.38201
126.176,-1.38224
126.225,-1.38246
126.272,-1.38268
126.327,-1.3829
126.374,-1.38311
126.422,-1.38332
126.473,-1.38353
126.524,-1.38373
126.574,-1.38393
126.625,-1.38413
126.67,-1.38433
126.721,-1.38453
126.77,-1.38473
126.821,-1.38493
126.877,-1.38513
126.925,-1.38534
126.971,-1.38555
127.023,-1.38576
127.073,-1.38597
127.126,-1.38619
127.175,-1.38642
127.223,-1.38665
127.275,-1.38688
127.324,-1.38711
127.371,-1.38734
127.424,-1.38757
127.472,-1.38779
127.52,-1.38801
127.57,-1.38823
127.622,-1.38844
127.673,-1.38865
127.722,-1.38885
127.773,-1.38905
127.823,-1.38925
127.87,-1.38945
127.923,-1.38965
127.973,-1.38985
128.021,-1.39005
128.073,-1.39025
128.121,-1.39046
128.172,-1.39067
128.223,-1.39089
128.271,-1.39111
128.318,-1.39133
128.371,-1.39155
128.421,-1.39177
128.471,-1.39198
128.523,-1.39219
128.573,-1.3924
128.622,-1.3926
