Time (min),Temperature (°C),Heat Flow (W/g)
62.42,176.96,-0.0031710408
62.42,176.96,-0.0031718819
62.42,176.96,-0.0031724274
62.42,176.96,-0.0031723933
62.42,176.96,-0.0031727512
62.43,176.96,-0.0031731384
62.43,176.96,-0.0031728868
62.43,176.96,-0.0031734540
62.43,176.96,-0.0031721265
62.43,176.96,-0.0031703298
62.43,176.96,-0.0031685085
62.44,176.96,-0.0031670239
62.44,176.96,-0.0031653919
62.44,176.96,-0.0031637540
62.44,176.96,-0.0031625347
62.44,176.96,-0.0031609900
62.44,176.96,-0.0031588397
62.44,176.96,-0.0031567056
62.45,176.96,-0.0031549044
62.45,176.96,-0.0031532838
62.45,176.96,-0.0031524291
62.45,176.96,-0.0031524751
62.45,176.96,-0.0031533456
62.46,176.96,-0.0031543379
62.46,176.96,-0.0031545599
62.46,176.96,-0.0031543288
62.46,176.96,-0.0031544752
62.46,176.96,-0.0031537502
62.46,176.96,-0.0031512022
62.46,176.96,-0.0031491914
62.47,176.96,-0.0031460195
62.47,176.96,-0.0031446249
62.47,176.96,-0.0031438649
62.47,176.96,-0.0031446280
62.47,176.96,-0.0031444829
62.48,176.96,-0.0031442780
62.48,176.96,-0.0031442621
62.48,176.96,-0.0031458447
62.48,176.96,-0.0031471961
62.48,176.96,-0.0031474032
62.48,176.96,-0.0031472960
62.49,176.96,-0.0031469893
62.49,176.96,-0.0031471570
62.49,176.96,-0.0031464522
62.49,176.96,-0.0031473434
62.49,176.96,-0.0031475983
62.49,176.96,-0.0031474652
62.49,176.96,-0.0031461930
62.5,176.96,-0.0031445587
62.5,176.96,-0.0031435287
62.5,176.96,-0.0031415150
62.5,176.96,-0.0031386530
62.5,176.96,-0.0031358271
62.51,176.96,-0.0031349008
62.51,176.96,-0.0031338542
62.51,176.96,-0.0031331048
62.51,176.96,-0.0031328170
62.51,176.96,-0.0031340976
62.51,176.96,-0.0031351156
62.51,176.96,-0.0031352825
62.52,176.96,-0.0031360250
62.52,176.96,-0.0031356680
62.52,176.96,-0.0031340258
62.52,176.96,-0.0031325872
62.52,176.96,-0.0031320848
62.53,176.96,-0.0031319039
62.53,176.96,-0.0031324592
62.53,176.96,-0.0031312439
62.53,176.96,-0.0031313634
62.53,176.96,-0.0031313889
62.53,176.96,-0.0031312459
62.54,176.96,-0.0031311615
62.54,176.96,-0.0031308692
62.54,176.96,-0.0031311381
62.54,176.96,-0.0031304188
62.54,176.96,-0.0031298804
62.54,176.96,-0.0031302421
62.54,176.96,-0.0031312175
62.55,176.96,-0.0031316054
62.55,176.96,-0.0031327100
62.55,176.96,-0.0031330168
62.55,176.96,-0.0031343207
62.55,176.96,-0.0031347561
62.56,176.96,-0.0031346903
62.56,176.96,-0.0031359975
62.56,176.96,-0.0031356623
62.56,176.96,-0.0031348634
62.56,176.96,-0.0031334026
62.56,176.96,-0.0031334476
62.56,176.96,-0.0031338069
62.57,176.96,-0.0031351120
62.57,176.96,-0.0031357722
62.57,176.96,-0.0031358569
62.57,176.96,-0.0031364181
62.57,176.96,-0.0031366451
62.58,176.96,-0.0031367738
62.58,176.96,-0.0031342640
62.58,176.96,-0.0031311121
62.58,176.96,-0.0031295695
62.58,176.96,-0.0031289091
62.58,176.96,-0.0031289148
62.59,176.96,-0.0031294496
62.59,176.96,-0.0031292062
62.59,176.96,-0.0031301174
62.59,176.96,-0.0031299410
62.59,176.96,-0.0031307771
62.59,176.96,-0.0031316669
62.59,176.96,-0.0031316166
62.6,176.96,-0.0031303451
62.6,176.96,-0.0031285791
62.6,176.96,-0.0031274347
62.6,176.96,-0.0031259694
62.6,176.96,-0.0031234479
62.61,176.96,-0.0031221137
62.61,176.96,-0.0031198745
62.61,176.96,-0.0031181860
62.61,176.96,-0.0031169798
62.61,176.96,-0.0031168916
62.61,176.96,-0.0031183155
62.61,176.96,-0.0031203067
62.62,176.96,-0.0031222467
62.62,176.96,-0.0031250079
62.62,176.96,-0.0031288421
62.62,176.96,-0.0031313984
62.62,176.96,-0.0031334398
62.63,176.96,-0.0031346412
62.63,176.96,-0.0031343336
62.63,176.96,-0.0031337404
62.63,176.96,-0.0031316471
62.63,176.96,-0.0031292675
62.63,176.96,-0.0031278019
62.64,176.96,-0.0031261783
62.64,176.96,-0.0031251910
62.64,176.96,-0.0031244178
62.64,176.96,-0.0031232448
62.64,176.96,-0.0031233199
62.64,176.96,-0.0031225209
62.64,176.96,-0.0031215773
62.65,176.96,-0.0031205871
62.65,176.96,-0.0031206040
62.65,176.96,-0.0031215630
62.65,176.96,-0.0031227801
62.65,176.96,-0.0031229475
62.66,176.96,-0.0031233487
62.66,176.96,-0.0031229961
62.66,176.96,-0.0031225321
62.66,176.96,-0.0031227322
62.66,176.96,-0.0031210833
62.66,176.96,-0.0031193981
62.66,176.96,-0.0031191397
62.67,176.96,-0.0031188858
62.67,176.96,-0.0031189575
62.67,176.96,-0.0031193869
62.67,176.96,-0.0031194916
62.67,176.96,-0.0031194301
62.68,176.96,-0.0031186719
62.68,176.96,-0.0031176620
62.68,176.96,-0.0031173055
62.68,176.96,-0.0031158164
62.68,176.96,-0.0031148198
62.68,176.96,-0.0031140630
62.69,176.96,-0.0031141195
62.69,176.96,-0.0031138787
62.69,176.96,-0.0031135225
62.69,176.96,-0.0031131046
62.69,176.96,-0.0031115031
62.69,176.96,-0.0031097858
62.69,176.96,-0.0031080065
62.7,176.96,-0.0031060019
62.7,176.96,-0.0031033599
62.7,176.96,-0.0031018395
62.7,176.96,-0.0031026227
62.7,176.96,-0.0031037211
62.71,176.96,-0.0031039505
62.71,176.96,-0.0031050615
62.71,176.96,-0.0031061435
62.71,176.96,-0.0031078131
62.71,176.96,-0.0031083121
62.71,176.96,-0.0031088307
62.71,176.96,-0.0031094570
62.72,176.96,-0.0031097536
62.72,176.96,-0.0031104918
62.72,176.96,-0.0031115158
62.72,176.96,-0.0031126144
62.72,176.96,-0.0031142404
62.73,176.96,-0.0031158235
62.73,176.96,-0.0031175430
62.73,176.96,-0.0031180751
62.73,176.96,-0.0031183953
62.73,176.96,-0.0031185505
62.73,176.96,-0.0031174681
62.74,176.96,-0.0031166334
62.74,176.96,-0.0031149318
62.74,176.96,-0.0031133423
62.74,176.96,-0.0031115088
62.74,176.96,-0.0031100922
62.74,176.96,-0.0031087275
62.74,176.96,-0.0031089997
62.75,176.96,-0.0031086173
62.75,176.96,-0.0031088376
62.75,176.96,-0.0031091349
62.75,176.96,-0.0031093488
62.75,176.96,-0.0031093416
62.76,176.96,-0.0031085732
62.76,176.96,-0.0031063528
62.76,176.96,-0.0031036963
62.76,176.96,-0.0031010342
62.76,176.96,-0.0030973132
62.76,176.96,-0.0030934620
62.76,176.96,-0.0030910020
62.77,176.96,-0.0030886800
62.77,176.96,-0.0030879037
62.77,176.96,-0.0030872743
62.77,176.96,-0.0030866661
62.77,176.96,-0.0030871189
62.78,176.96,-0.0030877142
62.78,176.96,-0.0030879896
62.78,176.96,-0.0030892205
62.78,176.96,-0.0030901229
62.78,176.96,-0.0030910659
62.78,176.96,-0.0030919085
62.79,176.96,-0.0030925150
62.79,176.96,-0.0030941720
62.79,176.96,-0.0030942900
62.79,176.96,-0.0030937932
62.79,176.96,-0.0030932868
62.79,176.96,-0.0030927198
62.79,176.96,-0.0030919352
62.8,176.96,-0.0030909240
62.8,176.96,-0.0030899637
62.8,176.96,-0.0030877917
62.8,176.96,-0.0030867908
62.8,176.96,-0.0030859442
62.81,176.96,-0.0030856969
62.81,176.96,-0.0030859630
62.81,176.96,-0.0030862174
62.81,176.96,-0.0030865824
62.81,176.96,-0.0030866206
62.81,176.96,-0.0030871365
62.81,176.96,-0.0030879366
62.82,176.96,-0.0030876672
62.82,176.96,-0.0030876293
62.82,176.96,-0.0030876191
62.82,176.96,-0.0030862291
62.82,176.96,-0.0030851448
62.83,176.96,-0.0030830438
62.83,176.96,-0.0030811791
62.83,176.96,-0.0030799348
62.83,176.96,-0.0030800545
62.83,176.96,-0.0030803084
62.83,176.96,-0.0030811913
62.84,176.96,-0.0030818648
62.84,176.96,-0.0030834904
62.84,176.96,-0.0030847785
62.84,176.96,-0.0030863574
62.84,176.96,-0.0030877938
62.84,176.96,-0.0030886879
62.84,176.96,-0.0030885327
62.85,176.96,-0.0030885189
62.85,176.96,-0.0030890093
62.85,176.96,-0.0030893424
62.85,176.96,-0.0030884407
62.85,176.96,-0.0030881817
62.86,176.96,-0.0030876720
62.86,176.96,-0.0030867825
62.86,176.96,-0.0030864143
62.86,176.96,-0.0030860801
62.86,176.96,-0.0030842760
62.86,176.96,-0.0030818682
62.86,176.96,-0.0030807021
62.87,176.96,-0.0030804780
62.87,176.96,-0.0030805976
62.87,176.96,-0.0030801771
62.87,176.96,-0.0030788953
62.87,176.96,-0.0030777626
62.88,176.96,-0.0030768731
62.88,176.96,-0.0030761318
62.88,176.96,-0.0030746059
62.88,176.96,-0.0030740304
62.88,176.96,-0.0030729070
62.88,176.96,-0.0030729744
62.89,176.96,-0.0030745068
62.89,176.96,-0.0030752358
62.89,176.96,-0.0030761728
62.89,176.96,-0.0030763226
62.89,176.96,-0.0030765009
62.89,176.96,-0.0030750585
62.89,176.96,-0.0030731244
62.9,176.96,-0.0030726168
62.9,176.96,-0.0030737610
62.9,176.96,-0.0030748475
62.9,176.96,-0.0030764697
62.9,176.96,-0.0030782750
62.91,176.96,-0.0030794387
62.91,176.96,-0.0030803683
62.91,176.96,-0.0030810626
62.91,176.96,-0.0030823369
62.91,176.96,-0.0030821064
62.91,176.96,-0.0030812242
62.91,176.96,-0.0030796034
62.92,176.96,-0.0030788684
62.92,176.96,-0.0030790832
62.92,176.96,-0.0030790615
62.92,176.96,-0.0030786138
62.92,176.96,-0.0030780315
62.93,176.96,-0.0030779593
62.93,176.96,-0.0030783281
62.93,176.96,-0.0030777235
62.93,176.96,-0.0030775275
62.93,176.96,-0.0030784073
62.93,176.96,-0.0030783126
62.94,176.96,-0.0030783160
62.94,176.96,-0.0030784061
62.94,176.96,-0.0030779037
62.94,176.96,-0.0030777178
62.94,176.96,-0.0030771658
62.94,176.96,-0.0030771697
62.94,176.96,-0.0030764151
62.95,176.96,-0.0030756056
62.95,176.96,-0.0030763037
62.95,176.96,-0.0030774503
62.95,176.96,-0.0030805252
62.95,176.96,-0.0030829692
62.96,176.96,-0.0030845342
62.96,176.96,-0.0030861602
62.96,176.96,-0.0030875657
62.96,176.96,-0.0030875878
62.96,176.96,-0.0030880063
62.96,176.96,-0.0030876215
62.96,176.96,-0.0030885985
62.97,176.96,-0.0030892487
62.97,176.96,-0.0030893824
62.97,176.96,-0.0030903416
62.97,176.96,-0.0030915732
62.97,176.96,-0.0030919521
62.98,176.96,-0.0030924489
62.98,176.96,-0.0030936334
62.98,176.96,-0.0030934627
62.98,176.96,-0.0030942485
62.98,176.96,-0.0030936251
62.98,176.96,-0.0030924773
62.99,176.96,-0.0030927892
62.99,176.96,-0.0030948429
62.99,176.96,-0.0030963948
62.99,176.96,-0.0030983210
62.99,176.96,-0.0031013539
62.99,176.96,-0.0031032810
62.99,176.96,-0.0031050112
63,176.96,-0.0031081474
63,176.96,-0.0031107297
63,176.96,-0.0031125062
63,176.96,-0.0031136248
63,176.96,-0.0031152341
63.01,176.96,-0.0031166511
63.01,176.96,-0.0031177251
63.01,176.96,-0.0031193364
63.01,176.96,-0.0031214681
63.01,176.96,-0.0031217370
63.01,176.96,-0.0031220081
63.01,176.96,-0.0031226218
63.02,176.96,-0.0031246004
63.02,176.96,-0.0031262133
63.02,176.96,-0.0031271904
63.02,176.96,-0.0031271856
63.02,176.96,-0.0031257195
63.03,176.96,-0.0031240640
63.03,176.96,-0.0031233819
63.03,176.96,-0.0031231925
63.03,176.96,-0.0031231072
63.03,176.96,-0.0031243277
63.03,176.96,-0.0031256828
63.04,176.96,-0.0031273911
63.04,176.96,-0.0031279962
63.04,176.96,-0.0031280997
63.04,176.96,-0.0031281433
63.04,176.96,-0.0031267862
63.04,176.96,-0.0031245580
63.04,176.96,-0.0031225505
63.05,176.96,-0.0031205716
63.05,176.96,-0.0031179967
63.05,176.96,-0.0031166806
63.05,176.96,-0.0031162529
63.05,176.96,-0.0031151314
63.06,176.96,-0.0031135798
63.06,176.96,-0.0031128724
63.06,176.96,-0.0031126060
63.06,176.96,-0.0031120234
63.06,176.96,-0.0031120644
63.06,176.96,-0.0031130519
63.06,176.96,-0.0031148746
63.07,176.96,-0.0031160371
63.07,176.96,-0.0031163898
63.07,176.96,-0.0031153834
63.07,176.96,-0.0031141961
63.07,176.96,-0.0031122706
63.08,176.96,-0.0031097403
63.08,176.96,-0.0031077650
63.08,176.96,-0.0031056917
63.08,176.96,-0.0031054072
63.08,176.96,-0.0031050398
63.08,176.96,-0.0031046615
63.09,176.96,-0.0031058414
63.09,176.96,-0.0031071942
63.09,176.96,-0.0031080296
63.09,176.96,-0.0031095281
63.09,176.96,-0.0031107748
63.09,176.96,-0.0031108227
63.09,176.96,-0.0031095893
63.1,176.96,-0.0031105862
63.1,176.96,-0.0031110091
63.1,176.96,-0.0031122921
63.1,176.96,-0.0031135569
63.1,176.96,-0.0031140041
63.11,176.96,-0.0031155107
63.11,176.96,-0.0031167920
63.11,176.96,-0.0031180797
63.11,176.96,-0.0031183531
63.11,176.96,-0.0031183395
63.11,176.96,-0.0031167252
63.11,176.96,-0.0031146178
63.12,176.96,-0.0031125669
63.12,176.96,-0.0031111004
63.12,176.96,-0.0031102555
63.12,176.96,-0.0031096022
63.12,176.96,-0.0031093607
63.13,176.96,-0.0031088862
63.13,176.96,-0.0031092489
63.13,176.96,-0.0031089349
63.13,176.96,-0.0031089039
63.13,176.96,-0.0031078522
63.13,176.96,-0.0031066284
63.14,176.96,-0.0031041341
63.14,176.96,-0.0031022394
63.14,176.96,-0.0031008372
63.14,176.96,-0.0031002047
63.14,176.96,-0.0030994418
63.14,176.96,-0.0030993304
63.14,176.96,-0.0030994873
63.15,176.96,-0.0031001432
63.15,176.96,-0.0031004727
63.15,176.96,-0.0031004059
63.15,176.96,-0.0030999660
63.15,176.96,-0.0030992727
63.16,176.96,-0.0030996041
63.16,176.96,-0.0031004355
63.16,176.96,-0.0031015043
63.16,176.96,-0.0031016192
63.16,176.96,-0.0031008985
63.16,176.96,-0.0031007297
63.16,176.96,-0.0031009610
63.17,176.96,-0.0031012778
63.17,176.96,-0.0031017437
63.17,176.96,-0.0031031306
63.17,176.96,-0.0031049943
63.17,176.96,-0.0031068947
63.18,176.96,-0.0031086302
63.18,176.96,-0.0031099372
63.18,176.96,-0.0031102238
63.18,176.96,-0.0031103871
63.18,176.96,-0.0031105490
63.18,176.96,-0.0031091962
63.19,176.96,-0.0031083872
63.19,176.96,-0.0031078625
63.19,176.96,-0.0031076639
63.19,176.96,-0.0031076982
63.19,176.96,-0.0031072106
63.19,176.96,-0.0031070831
63.19,176.96,-0.0031059597
63.2,176.96,-0.0031043687
63.2,176.96,-0.0031027744
63.2,176.96,-0.0031008375
63.2,176.96,-0.0030994017
63.2,176.96,-0.0030994563
63.21,176.96,-0.0030990369
63.21,176.96,-0.0030994718
63.21,176.96,-0.0031011209
63.21,176.96,-0.0031016085
63.21,176.96,-0.0031033416
63.21,176.96,-0.0031050913
63.21,176.96,-0.0031074092
63.22,176.96,-0.0031082499
63.22,176.96,-0.0031078560
63.22,176.96,-0.0031061800
63.22,176.96,-0.0031045587
63.22,176.96,-0.0031017854
63.23,176.96,-0.0030995641
63.23,176.96,-0.0030975814
63.23,176.96,-0.0030965185
63.23,176.96,-0.0030959954
63.23,176.96,-0.0030961454
63.23,176.96,-0.0030983007
63.24,176.96,-0.0031009624
63.24,176.96,-0.0031032267
63.24,176.96,-0.0031063077
63.24,176.96,-0.0031088209
63.24,176.96,-0.0031110747
63.24,176.96,-0.0031131740
63.24,176.96,-0.0031154864
63.25,176.96,-0.0031171038
63.25,176.96,-0.0031182551
63.25,176.96,-0.0031186473
63.25,176.96,-0.0031192181
63.25,176.96,-0.0031184130
63.26,176.96,-0.0031165681
63.26,176.96,-0.0031157951
63.26,176.96,-0.0031150863
63.26,176.96,-0.0031142995
63.26,176.96,-0.0031136541
63.26,176.96,-0.0031137667
63.26,176.96,-0.0031148238
63.27,176.96,-0.0031156402
63.27,176.96,-0.0031162212
63.27,176.96,-0.0031169622
63.27,176.96,-0.0031172359
63.27,176.96,-0.0031170509
63.28,176.96,-0.0031153443
63.28,176.96,-0.0031151569
63.28,176.96,-0.0031139491
63.28,176.96,-0.0031134684
63.28,176.96,-0.0031148901
63.28,176.96,-0.0031163290
63.29,176.96,-0.0031174684
63.29,176.96,-0.0031182840
63.29,176.96,-0.0031189921
63.29,176.96,-0.0031200914
63.29,176.96,-0.0031211822
63.29,176.96,-0.0031213071
63.29,176.96,-0.0031195080
63.3,176.96,-0.0031178870
63.3,176.96,-0.0031162670
63.3,176.96,-0.0031148212
63.3,176.96,-0.0031133714
63.3,176.96,-0.0031114166
63.31,176.96,-0.0031094270
63.31,176.96,-0.0031085966
63.31,176.96,-0.0031074169
63.31,176.96,-0.0031075563
63.31,176.96,-0.0031072857
63.31,176.96,-0.0031065917
63.31,176.96,-0.0031066561
63.32,176.96,-0.0031062562
63.32,176.96,-0.0031070120
63.32,176.96,-0.0031073985
63.32,176.96,-0.0031078341
63.32,176.96,-0.0031076415
63.33,176.96,-0.0031080296
63.33,176.96,-0.0031090441
63.33,176.96,-0.0031092236
63.33,176.96,-0.0031098464
63.33,176.96,-0.0031098740
63.33,176.96,-0.0031097476
63.34,176.96,-0.0031095304
63.34,176.96,-0.0031102793
63.34,176.96,-0.0031106367
63.34,176.96,-0.0031108646
63.34,176.96,-0.0031113894
63.34,176.96,-0.0031117721
63.34,176.96,-0.0031116073
63.35,176.96,-0.0031109769
63.35,176.96,-0.0031097324
63.35,176.96,-0.0031090221
63.35,176.96,-0.0031089272
63.35,176.96,-0.0031088376
63.36,176.96,-0.0031087427
63.36,176.96,-0.0031089513
63.36,176.96,-0.0031094549
63.36,176.96,-0.0031081874
63.36,176.96,-0.0031067762
63.36,176.96,-0.0031051154
63.36,176.96,-0.0031033177
63.37,176.96,-0.0031005352
63.37,176.96,-0.0030979943
63.37,176.96,-0.0030970762
63.37,176.96,-0.0030964262
63.37,176.96,-0.0030953345
63.38,176.96,-0.0030951610
63.38,176.96,-0.0030934672
63.38,176.96,-0.0030906365
63.38,176.96,-0.0030886440
63.38,176.96,-0.0030871110
63.38,176.96,-0.0030873230
63.39,176.96,-0.0030876005
63.39,176.96,-0.0030882783
63.39,176.96,-0.0030898328
63.39,176.96,-0.0030912688
63.39,176.96,-0.0030920949
63.39,176.96,-0.0030936630
63.39,176.96,-0.0030954552
63.4,176.96,-0.0030953565
63.4,176.96,-0.0030946832
63.4,176.96,-0.0030925798
63.4,176.96,-0.0030907521
63.4,176.96,-0.0030899978
63.41,176.96,-0.0030872264
63.41,176.96,-0.0030838649
63.41,176.96,-0.0030820701
63.41,176.96,-0.0030796919
63.41,176.96,-0.0030774152
63.41,176.96,-0.0030761888
63.41,176.96,-0.0030770745
63.42,176.96,-0.0030785506
63.42,176.96,-0.0030799079
63.42,176.96,-0.0030804632
63.42,176.96,-0.0030810876
63.42,176.96,-0.0030814958
63.43,176.96,-0.0030813990
63.43,176.96,-0.0030806808
63.43,176.96,-0.0030789981
63.43,176.96,-0.0030768950
63.43,176.96,-0.0030753992
63.43,176.96,-0.0030730083
63.44,176.96,-0.0030701909
63.44,176.96,-0.0030673587
63.44,176.96,-0.0030657272
63.44,176.96,-0.0030653300
63.44,176.96,-0.0030657840
63.44,176.96,-0.0030675790
63.44,176.96,-0.0030698004
63.45,176.96,-0.0030705180
63.45,176.96,-0.0030708749
63.45,176.96,-0.0030711565
63.45,176.96,-0.0030709558
63.45,176.96,-0.0030704246
63.46,176.96,-0.0030694313
63.46,176.96,-0.0030684559
63.46,176.96,-0.0030669405
63.46,176.96,-0.0030654767
63.46,176.96,-0.0030659008
63.46,176.96,-0.0030662940
63.46,176.96,-0.0030657637
63.47,176.96,-0.0030646327
63.47,176.96,-0.0030629423
63.47,176.96,-0.0030604999
63.47,176.96,-0.0030574093
63.47,176.96,-0.0030555222
63.48,176.96,-0.0030547626
63.48,176.96,-0.0030546861
63.48,176.96,-0.0030551705
63.48,176.96,-0.0030556378
63.48,176.96,-0.0030561571
63.48,176.96,-0.0030562274
63.49,176.96,-0.0030562515
63.49,176.96,-0.0030548332
63.49,176.96,-0.0030525408
63.49,176.96,-0.0030502050
63.49,176.96,-0.0030485106
63.49,176.96,-0.0030470283
63.49,176.96,-0.0030472858
63.5,176.96,-0.0030493565
63.5,176.96,-0.0030516310
63.5,176.96,-0.0030538023
63.5,176.96,-0.0030558906
63.5,176.96,-0.0030590956
63.51,176.96,-0.0030619302
63.51,176.96,-0.0030635600
63.51,176.96,-0.0030628486
63.51,176.96,-0.0030632463
63.51,176.96,-0.0030618293
63.51,176.96,-0.0030607038
63.51,176.96,-0.0030599320
63.52,176.96,-0.0030598671
63.52,176.96,-0.0030579205
63.52,176.96,-0.0030558946
63.52,176.96,-0.0030546834
63.52,176.96,-0.0030550287
63.53,176.96,-0.0030568323
63.53,176.96,-0.0030574021
63.53,176.96,-0.0030571399
63.53,176.96,-0.0030573297
63.53,176.96,-0.0030576389
63.53,176.96,-0.0030569806
63.54,176.96,-0.0030576079
63.54,176.96,-0.0030580101
63.54,176.96,-0.0030583663
63.54,176.96,-0.0030589612
63.54,176.96,-0.0030605984
63.54,176.96,-0.0030618675
63.54,176.96,-0.0030629046
63.55,176.96,-0.0030651846
63.55,176.96,-0.0030663629
63.55,176.96,-0.0030675037
63.55,176.96,-0.0030679321
63.55,176.96,-0.0030665147
63.56,176.96,-0.0030652540
63.56,176.96,-0.0030644054
63.56,176.96,-0.0030642707
63.56,176.96,-0.0030641797
63.56,176.96,-0.0030647533
63.56,176.96,-0.0030650477
63.56,176.96,-0.0030632460
63.57,176.96,-0.0030622418
63.57,176.96,-0.0030608368
63.57,176.96,-0.0030596714
63.57,176.96,-0.0030571258
63.57,176.96,-0.0030551641
63.58,176.96,-0.0030533116
63.58,176.96,-0.0030521412
63.58,176.96,-0.0030512443
63.58,176.96,-0.0030506432
63.58,176.96,-0.0030509915
63.58,176.96,-0.0030515940
63.59,176.96,-0.0030514555
63.59,176.96,-0.0030517631
63.59,176.96,-0.0030513718
63.59,176.96,-0.0030504084
63.59,176.96,-0.0030507381
63.59,176.96,-0.0030527012
63.59,176.96,-0.0030538499
63.6,176.96,-0.0030562639
63.6,176.96,-0.0030583453
63.6,176.96,-0.0030599387
63.6,176.96,-0.0030624094
63.6,176.96,-0.0030645187
63.61,176.96,-0.0030666697
63.61,176.96,-0.0030673156
63.61,176.96,-0.0030671651
63.61,176.96,-0.0030671012
63.61,176.96,-0.0030678289
63.61,176.96,-0.0030682483
63.61,176.96,-0.0030685511
63.62,176.96,-0.0030672200
63.62,176.96,-0.0030659778
63.62,176.96,-0.0030644715
63.62,176.96,-0.0030630977
63.62,176.96,-0.0030616443
63.63,176.96,-0.0030602610
63.63,176.96,-0.0030594914
63.63,176.96,-0.0030593591
63.63,176.96,-0.0030607476
63.63,176.96,-0.0030617299
63.63,176.96,-0.0030631356
63.64,176.96,-0.0030647032
63.64,176.96,-0.0030665627
63.64,176.96,-0.0030687106
63.64,176.96,-0.0030696371
63.64,176.96,-0.0030695195
63.64,176.96,-0.0030691161
63.64,176.96,-0.0030688295
63.65,176.96,-0.0030692441
63.65,176.96,-0.0030695813
63.65,176.96,-0.0030688517
63.65,176.96,-0.0030691304
63.65,176.96,-0.0030704477
63.66,176.96,-0.0030727880
63.66,176.96,-0.0030744858
63.66,176.96,-0.0030758333
63.66,176.96,-0.0030764761
63.66,176.96,-0.0030771053
63.66,176.96,-0.0030768135
63.66,176.96,-0.0030771823
63.67,176.96,-0.0030769806
63.67,176.96,-0.0030765297
63.67,176.96,-0.0030771019
63.67,176.96,-0.0030769920
63.67,176.96,-0.0030781379
63.68,176.96,-0.0030794795
63.68,176.96,-0.0030796609
63.68,176.96,-0.0030780976
63.68,176.96,-0.0030758059
63.68,176.96,-0.0030734565
63.68,176.96,-0.0030721307
63.69,176.96,-0.0030699251
63.69,176.96,-0.0030688136
63.69,176.96,-0.0030678141
63.69,176.96,-0.0030665522
63.69,176.96,-0.0030654745
63.69,176.96,-0.0030656486
63.69,176.96,-0.0030663228
63.7,176.96,-0.0030678246
63.7,176.96,-0.0030689275
63.7,176.96,-0.0030702312
63.7,176.96,-0.0030712640
63.7,176.96,-0.0030706499
63.71,176.96,-0.0030698299
63.71,176.96,-0.0030692325
63.71,176.96,-0.0030682235
63.71,176.96,-0.0030670309
63.71,176.96,-0.0030649903
63.71,176.96,-0.0030629630
63.71,176.96,-0.0030610368
63.72,176.96,-0.0030602119
63.72,176.96,-0.0030592291
63.72,176.96,-0.0030594707
63.72,176.96,-0.0030595877
63.72,176.96,-0.0030587094
63.73,176.96,-0.0030571327
63.73,176.96,-0.0030569031
63.73,176.96,-0.0030563331
63.73,176.96,-0.0030570102
63.73,176.96,-0.0030561435
63.73,176.96,-0.0030541866
63.74,176.96,-0.0030523057
63.74,176.96,-0.0030507529
63.74,176.96,-0.0030504026
63.74,176.96,-0.0030515928
63.74,176.96,-0.0030517581
63.74,176.96,-0.0030514979
63.74,176.96,-0.0030527878
63.75,176.96,-0.0030529723
63.75,176.96,-0.0030535579
63.75,176.96,-0.0030540068
63.75,176.96,-0.0030542827
63.75,176.96,-0.0030543213
63.76,176.96,-0.0030539265
63.76,176.96,-0.0030529411
63.76,176.96,-0.0030531006
63.76,176.96,-0.0030508051
63.76,176.96,-0.0030493195
63.76,176.96,-0.0030478759
63.76,176.96,-0.0030483778
63.77,176.96,-0.0030482144
63.77,176.96,-0.0030486529
63.77,176.96,-0.0030490046
63.77,176.96,-0.0030489244
63.77,176.96,-0.0030482144
63.78,176.96,-0.0030476394
63.78,176.96,-0.0030472536
63.78,176.96,-0.0030462050
63.78,176.96,-0.0030465295
63.78,176.96,-0.0030473001
63.78,176.96,-0.0030472510
63.79,176.96,-0.0030466065
63.79,176.96,-0.0030462768
63.79,176.96,-0.0030456560
63.79,176.96,-0.0030460873
63.79,176.96,-0.0030458686
63.79,176.96,-0.0030450554
63.79,176.96,-0.0030432367
63.8,176.96,-0.0030421858
63.8,176.96,-0.0030413949
63.8,176.96,-0.0030411351
63.8,176.96,-0.0030413549
63.8,176.96,-0.0030413244
63.81,176.96,-0.0030420365
63.81,176.96,-0.0030421081
63.81,176.96,-0.0030428278
63.81,176.96,-0.0030438535
63.81,176.96,-0.0030451534
63.81,176.96,-0.0030452602
63.81,176.96,-0.0030464618
63.82,176.96,-0.0030475795
63.82,176.96,-0.0030473657
63.82,176.96,-0.0030472121
63.82,176.96,-0.0030470417
63.82,176.96,-0.0030468321
63.83,176.96,-0.0030459607
63.83,176.96,-0.0030440450
63.83,176.96,-0.0030425634
63.83,176.96,-0.0030417721
63.83,176.96,-0.0030409572
63.83,176.96,-0.0030407791
63.84,176.96,-0.0030410528
63.84,176.96,-0.0030403583
63.84,176.96,-0.0030407832
63.84,176.96,-0.0030409925
63.84,176.96,-0.0030399845
63.84,176.96,-0.0030397558
63.84,176.96,-0.0030403841
63.85,176.96,-0.0030411420
63.85,176.96,-0.0030419042
63.85,176.96,-0.0030424156
63.85,176.96,-0.0030416889
63.85,176.96,-0.0030395777
63.86,176.96,-0.0030371995
63.86,176.96,-0.0030349429
63.86,176.96,-0.0030331070
63.86,176.96,-0.0030318487
63.86,176.96,-0.0030304413
63.86,176.96,-0.0030288527
63.86,176.96,-0.0030287492
63.87,176.96,-0.0030293479
63.87,176.96,-0.0030296366
63.87,176.96,-0.0030297956
63.87,176.96,-0.0030296934
