Time (min),Temperature (°C),Heat Flow (W/g)
0.82,32.4,-0.1663199005
0.83,32.42,-0.1663429718
0.83,32.44,-0.1663665466
0.83,32.45,-0.1663900452
0.83,32.47,-0.1664142609
0.83,32.49,-0.1664379120
0.83,32.5,-0.1664618988
0.83,32.52,-0.1664898987
0.84,32.54,-0.1665145264
0.84,32.55,-0.1665380096
0.84,32.57,-0.1665613098
0.84,32.59,-0.1665843964
0.84,32.6,-0.1666067047
0.85,32.62,-0.1666313629
0.85,32.64,-0.1666532898
0.85,32.65,-0.1666763153
0.85,32.67,-0.1666994476
0.85,32.69,-0.1667229004
0.85,32.7,-0.1667462158
0.85,32.72,-0.1667713318
0.86,32.74,-0.1667965851
0.86,32.75,-0.1668218842
0.86,32.77,-0.1668462067
0.86,32.78,-0.1668703308
0.86,32.8,-0.1668948517
0.87,32.82,-0.1669199524
0.87,32.83,-0.1669451752
0.87,32.85,-0.1669728088
0.87,32.87,-0.1669985504
0.87,32.88,-0.1670227814
0.87,32.9,-0.1670474396
0.88,32.92,-0.1670731659
0.88,32.93,-0.1670981445
0.88,32.95,-0.1671230621
0.88,32.97,-0.1671484375
0.88,32.98,-0.1671738739
0.88,33,-0.1672046814
0.88,33.02,-0.1672392578
0.89,33.03,-0.1672755737
0.89,33.05,-0.1673002472
0.89,33.07,-0.1673242798
0.89,33.08,-0.1673470306
0.89,33.1,-0.1673708649
0.9,33.11,-0.1673935699
0.9,33.13,-0.1674168243
0.9,33.15,-0.1674396362
0.9,33.16,-0.1674615021
0.9,33.18,-0.1674845123
0.9,33.2,-0.1675086670
0.9,33.21,-0.1675335846
0.91,33.23,-0.1675580750
0.91,33.25,-0.1675817871
0.91,33.26,-0.1676048584
0.91,33.28,-0.1676291046
0.91,33.3,-0.1676539001
0.92,33.31,-0.1676790009
0.92,33.33,-0.1677043457
0.92,33.35,-0.1677294769
0.92,33.36,-0.1677551727
0.92,33.38,-0.1677810516
0.92,33.4,-0.1678070068
0.93,33.41,-0.1678334656
0.93,33.43,-0.1678652496
0.93,33.45,-0.1678917694
0.93,33.46,-0.1679177704
0.93,33.48,-0.1679430847
0.93,33.5,-0.1679676056
0.93,33.51,-0.1679908905
0.94,33.53,-0.1680152435
0.94,33.54,-0.1680399323
0.94,33.56,-0.1680639496
0.94,33.58,-0.1680879669
0.94,33.59,-0.1681129913
0.95,33.61,-0.1681372681
0.95,33.63,-0.1681626282
0.95,33.64,-0.1681891174
0.95,33.66,-0.1682149658
0.95,33.68,-0.1682401428
0.95,33.69,-0.1682637939
0.95,33.71,-0.1682874756
0.96,33.73,-0.1683105164
0.96,33.74,-0.1683335114
0.96,33.76,-0.1683566132
0.96,33.78,-0.1683800201
0.96,33.79,-0.1684026031
0.97,33.81,-0.1684257507
0.97,33.83,-0.1684492340
0.97,33.84,-0.1684748993
0.97,33.86,-0.1685009308
0.97,33.88,-0.1685267792
0.97,33.89,-0.1685525818
0.98,33.91,-0.1685787201
0.98,33.93,-0.1686054230
0.98,33.94,-0.1686316986
0.98,33.96,-0.1686642151
0.98,33.97,-0.1686906433
0.98,33.99,-0.1687165222
0.98,34.01,-0.1687421722
0.99,34.02,-0.1687685089
0.99,34.04,-0.1687930908
0.99,34.06,-0.1688178864
0.99,34.07,-0.1688422852
0.99,34.09,-0.1688660889
1,34.11,-0.1688906860
1,34.12,-0.1689151306
1,34.14,-0.1689396057
1,34.16,-0.1689633636
1,34.17,-0.1689872589
1,34.19,-0.1690110474
1,34.21,-0.1690349121
1.01,34.22,-0.1690574646
1.01,34.24,-0.1690800781
1.01,34.26,-0.1691033020
1.01,34.27,-0.1691263428
1.01,34.29,-0.1691502686
1.02,34.31,-0.1691744690
1.02,34.32,-0.1692004700
1.02,34.34,-0.1692323761
1.02,34.35,-0.1692590942
1.02,34.37,-0.1692853088
1.02,34.39,-0.1693101807
