Temperaturee (°C),Heat flow (W/g)
81.3816,-0.0822606
81.3982,-0.0822641
81.4145,-0.0822665
81.4314,-0.0822663
81.4477,-0.0822614
81.4642,-0.0822553
81.481,-0.0822524
81.4994,-0.0822498
81.5143,-0.0822465
81.531,-0.0822424
81.5478,-0.0822402
81.5648,-0.0822392
81.5816,-0.0822382
81.5978,-0.0822385
81.6147,-0.0822397
81.6313,-0.0822411
81.648,-0.0822403
81.6647,-0.0822394
81.6813,-0.0822395
81.6979,-0.082241
81.7154,-0.0822401
81.7309,-0.0822368
81.7483,-0.0822327
81.7649,-0.0822297
81.7818,-0.0822271
81.7981,-0.0822272
81.8153,-0.0822283
81.8315,-0.0822289
81.8488,-0.0822293
81.8646,-0.0822306
81.8817,-0.0822309
81.8983,-0.0822327
81.9152,-0.0822349
81.9316,-0.0822344
81.9486,-0.0822351
81.9645,-0.0822371
81.9821,-0.0822396
81.9985,-0.0822428
82.0146,-0.0822454
82.0318,-0.0822465
82.0493,-0.0822468
82.0651,-0.0822468
82.0823,-0.0822467
82.098,-0.0822465
82.1152,-0.0822459
82.1317,-0.0822446
82.1483,-0.0822456
82.1656,-0.0822452
82.1816,-0.0822451
82.1988,-0.0822438
82.2154,-0.0822428
82.2319,-0.0822422
82.2487,-0.0822407
82.2647,-0.08224
82.2818,-0.0822371
82.2988,-0.0822339
82.3155,-0.0822313
82.3321,-0.0822295
82.3486,-0.0822276
82.3657,-0.0822254
82.3817,-0.0822229
82.3986,-0.0822221
82.4145,-0.0822218
82.4308,-0.0822218
82.4483,-0.0822211
82.4647,-0.0822223
82.4816,-0.0822225
82.4981,-0.0822231
82.5149,-0.082224
82.532,-0.0822233
82.5477,-0.0822236
82.5653,-0.0822231
82.5814,-0.0822226
82.5984,-0.0822215
82.6149,-0.0822219
82.6316,-0.0822203
82.6475,-0.0822182
82.6653,-0.0822167
82.6818,-0.0822144
82.6986,-0.0822131
82.7142,-0.0822125
82.7308,-0.0822128
82.7473,-0.0822116
82.7649,-0.0822097
82.7819,-0.0822102
82.7981,-0.0822116
82.8151,-0.0822113
82.8306,-0.0822099
82.8486,-0.0822076
82.865,-0.0822076
82.881,-0.0822078
82.8978,-0.0822073
82.9146,-0.0822052
82.9314,-0.0822048
82.9486,-0.0822038
82.9648,-0.0822027
82.9814,-0.0821993
82.9975,-0.0821957
83.0149,-0.0821932
83.0313,-0.0821897
83.0487,-0.0821861
83.0649,-0.0821824
83.0813,-0.0821785
83.098,-0.0821737
83.1146,-0.082173
83.1307,-0.0821728
83.1479,-0.082172
83.1649,-0.0821708
83.181,-0.0821711
83.1978,-0.082174
83.2156,-0.0821751
