Temperaturee (°C),Heat flow (W/g)
80.4704,-0.250673
80.4869,-0.25068
80.5035,-0.250692
80.5196,-0.250701
80.5367,-0.250707
80.5533,-0.250714
80.5697,-0.250721
80.5869,-0.250727
80.603,-0.25074
80.6197,-0.250756
80.6356,-0.250765
80.6538,-0.250771
80.67,-0.250775
80.6863,-0.250787
80.7035,-0.250785
80.7197,-0.250786
80.7364,-0.250789
80.7538,-0.250791
80.7696,-0.250795
80.7861,-0.250797
80.8033,-0.250797
80.8195,-0.250797
80.8365,-0.2508
80.853,-0.250804
80.8693,-0.250812
80.8853,-0.250812
80.9027,-0.250816
80.9208,-0.250822
80.9364,-0.250832
80.9535,-0.250834
80.9698,-0.250837
80.9867,-0.250838
81.0029,-0.250837
81.0199,-0.250834
81.0363,-0.250827
81.0528,-0.250826
81.0702,-0.250824
81.0863,-0.250826
81.1022,-0.250825
81.12,-0.250825
81.1357,-0.250827
81.1524,-0.250831
81.1695,-0.250832
81.1857,-0.250833
81.203,-0.250825
81.2184,-0.250819
81.2363,-0.250818
81.2526,-0.250818
81.2692,-0.250821
81.2856,-0.25082
81.3029,-0.250822
81.3196,-0.25083
81.3356,-0.250841
81.3522,-0.250849
81.3689,-0.250854
81.3854,-0.250848
81.4026,-0.25085
81.42,-0.250849
81.4349,-0.250851
81.4527,-0.25085
81.4688,-0.250852
81.4853,-0.250854
81.502,-0.25086
81.5191,-0.25087
81.5355,-0.25088
81.5524,-0.250888
81.5689,-0.250887
81.5863,-0.250891
81.6017,-0.250895
81.6199,-0.250889
81.6357,-0.250886
81.6523,-0.250888
81.6693,-0.25089
81.6861,-0.250888
81.7029,-0.250885
81.7188,-0.250888
81.736,-0.250892
81.753,-0.250896
81.769,-0.250897
81.7857,-0.250893
81.8024,-0.250888
81.8188,-0.250894
81.8357,-0.250905
81.8528,-0.250916
81.8689,-0.250932
81.8858,-0.250949
81.9032,-0.250964
81.9198,-0.250971
81.9365,-0.250969
81.9532,-0.250968
81.9693,-0.250967
81.9863,-0.25096
82.0025,-0.250952
82.0196,-0.25094
82.036,-0.250928
82.0533,-0.25091
82.0698,-0.250902
82.0853,-0.250895
82.1026,-0.250891
82.1205,-0.250892
82.136,-0.250893
82.1528,-0.250893
82.1695,-0.250891
82.186,-0.250885
82.2032,-0.250878
82.2199,-0.250877
82.2366,-0.250873
82.2519,-0.250875
82.2682,-0.250878
82.2859,-0.250885
82.3026,-0.2509
82.3191,-0.250915
82.336,-0.250933
82.3531,-0.250941
82.3697,-0.250947
82.3859,-0.250953
82.4026,-0.250949
82.4184,-0.250941
82.4354,-0.250929
82.452,-0.250922
82.4694,-0.250914
82.4858,-0.250906
82.5019,-0.2509
82.5188,-0.250902
82.5357,-0.250898
82.5519,-0.250899
82.569,-0.250902
82.585,-0.25091
82.6016,-0.250911
82.6181,-0.250906
82.6356,-0.250902
82.6518,-0.250897
82.6684,-0.250896
82.6847,-0.2509
82.7021,-0.250907
82.7189,-0.250907
82.7355,-0.250911
82.7521,-0.25091
82.7683,-0.250908
82.7858,-0.250907
82.8021,-0.250901
82.8188,-0.250897
82.8347,-0.25089
82.8516,-0.250885
82.8684,-0.250883
82.8852,-0.250885
82.9017,-0.250888
82.919,-0.250887
82.9346,-0.250886
82.9517,-0.250885
82.9679,-0.250885
82.9854,-0.250889
83.0015,-0.250896
83.0183,-0.250903
83.0351,-0.250904
83.0529,-0.250899
83.0699,-0.250894
83.0857,-0.250891
83.1014,-0.250883
83.1179,-0.250871
83.1353,-0.250856
