Wavenumber (cm-1),Intensity
1394.28,0.00630263
1395.25,0.00711338
1396.21,0.00805893
1397.17,0.00895448
1398.14,0.00965443
1399.1,0.0101135
1400.07,0.0103639
1401.03,0.0104701
1402,0.0105012
1402.96,0.0105179
1403.92,0.0105583
1404.89,0.0106232
1405.85,0.0106714
1406.82,0.0106494
1407.78,0.0105287
1408.75,0.0103168
1409.71,0.0100383
1410.67,0.0097213
1411.64,0.00939385
1412.6,0.0090836
1413.57,0.00881365
1414.53,0.00859801
1415.49,0.00844026
1416.46,0.00832921
1417.42,0.00822186
1418.39,0.00803411
1419.35,0.00768796
1420.32,0.00718711
1421.28,0.00659266
1422.24,0.00595161
1423.21,0.00529177
1424.17,0.00465017
1425.14,0.00407882
1426.1,0.00362196
1427.07,0.00329433
1428.03,0.0030788
1428.99,0.0029368
1429.96,0.00282195
1430.92,0.00269974
1431.89,0.00256683
1432.85,0.00245241
1433.82,0.00240522
1434.78,0.00247588
1435.74,0.0026782
1436.71,0.00292887
1437.67,0.00307063
1438.64,0.0030226
1439.6,0.00283501
1440.56,0.00259971
1441.53,0.00238589
1442.49,0.002233
1443.46,0.00215827
1444.42,0.00216228
1445.39,0.00223257
1446.35,0.00234566
1447.31,0.0024678
1448.28,0.00256029
1449.24,0.00259533
1450.21,0.0025706
1451.17,0.00250577
1452.14,0.00242882
1453.1,0.00237271
1454.06,0.0023891
1455.03,0.00257447
1455.99,0.00306445
1456.96,0.00380105
1457.92,0.00422899
1458.89,0.00404382
1459.85,0.00358609
1460.81,0.00314666
1461.78,0.00282991
1462.74,0.00268088
1463.71,0.00272657
1464.67,0.00293268
1465.63,0.00316014
1466.6,0.00325366
1467.56,0.0031763
1468.53,0.00299568
1469.49,0.00280971
1470.46,0.00273077
1471.42,0.00290724
1472.38,0.00347388
1473.35,0.00430162
1474.31,0.00491375
1475.28,0.00506097
1476.24,0.00492491
1477.21,0.00473913
1478.17,0.00462315
1479.13,0.00461287
1480.1,0.00470711
1481.06,0.00489777
1482.03,0.00518385
1482.99,0.00556704
1483.96,0.00604129
1484.92,0.00660604
1485.88,0.00733169
1486.85,0.00850624
1487.81,0.0108174
1488.78,0.0150918
1489.74,0.0209455
1490.71,0.0264223
1491.67,0.0302886
1492.63,0.0327364
1493.6,0.0342721
1494.56,0.0351314
1495.53,0.035189
1496.49,0.0340031
1497.45,0.031209
1498.42,0.0272988
1499.38,0.0234516
1500.35,0.0203469
1501.31,0.017952
1502.28,0.0160421
1503.24,0.0144693
1504.2,0.0131812
1505.17,0.0121542
1506.13,0.0112323
1507.1,0.00986972
1508.06,0.00772687
1509.03,0.00566935
1509.99,0.00423756
1510.95,0.0032812
1511.92,0.0026207
1512.88,0.00217332
1513.85,0.00190658
1514.81,0.00179409
1515.78,0.00178516
1516.74,0.00180345
1517.7,0.00179046
1518.67,0.00175982
1519.63,0.00179367
1520.6,0.00196555
1521.56,0.00224402
1522.52,0.00248562
1523.49,0.00256256
1524.45,0.0024621
1525.42,0.00224673
1526.38,0.00197818
1527.35,0.00169061
1528.31,0.00140095
1529.27,0.00112548
1530.24,8.90E-04
1531.2,7.35E-04
1532.17,7.11E-04
1533.13,8.39E-04
1534.1,0.00105597
1535.06,0.0012344
1536.02,0.00129932
1536.99,0.00127833
1537.95,0.00127322
1538.92,0.00146925
1539.88,0.00221232
1540.85,0.00380368
1541.81,0.00523166
1542.77,0.00514207
1543.74,0.00436246
1544.7,0.00369393
1545.67,0.00328005
1546.63,0.00307514
1547.59,0.00301379
1548.56,0.00304138
1549.52,0.00311441
1550.49,0.00319438
1551.45,0.00324479
1552.42,0.00323783
1553.38,0.00316556
1554.34,0.00304687
1555.31,0.00293412
1556.27,0.00294321
1557.24,0.00330456
1558.2,0.00421485
1559.17,0.00522979
1560.13,0.00571283
1561.09,0.00583035
1562.06,0.0059126
1563.02,0.00607953
1563.99,0.00632681
1564.95,0.00661289
1565.92,0.00691754
1566.88,0.00729449
1567.84,0.00789254
1568.81,0.00885689
1569.77,0.0101073
1570.74,0.0113164
1571.7,0.0122319
1572.66,0.0128796
1573.63,0.0135092
1574.59,0.0145363
1575.56,0.0164466
1576.52,0.0193313
1577.49,0.0224447
1578.45,0.0250368
1579.41,0.0272147
1580.38,0.0295001
1581.34,0.0323066
1582.31,0.0357788
1583.27,0.0397484
1584.24,0.0437815
1585.2,0.0473673
1586.16,0.0501052
1587.13,0.0517292
1588.09,0.0520432
1589.06,0.0509376
1590.02,0.048479
1590.99,0.0449282
1591.95,0.0406334
1592.91,0.0359201
1593.88,0.0310884
1594.84,0.0264722
1595.81,0.0224221
1596.77,0.0191839
1597.73,0.0168063
1598.7,0.015179
1599.66,0.0141421
1600.63,0.0135634
1601.59,0.0133453
1602.56,0.0133861
1603.52,0.0135511
1604.48,0.0136881
1605.45,0.0136639
1606.41,0.0133749
1607.38,0.0127372
1608.34,0.0117093
1609.31,0.0103574
1610.27,0.00887429
1611.23,0.00747514
1612.2,0.00628373
1613.16,0.00532503
1614.13,0.00458322
1615.09,0.00405012
1616.06,0.00372484
1617.02,0.00355617
1617.98,0.00342676
1618.95,0.00325522
1619.91,0.00304451
1620.88,0.00283769
1621.84,0.00268693
1622.8,0.00264064
1623.77,0.00271597
1624.73,0.00287723
1625.7,0.00306854
1626.66,0.00326655
1627.63,0.00347805
1628.59,0.00370036
1629.55,0.00390483
1630.52,0.00406106
1631.48,0.00417287
1632.45,0.00430182
1633.41,0.00459759
1634.38,0.00535508
1635.34,0.00697979
1636.3,0.00950087
1637.27,0.0121697
1638.23,0.0144716
1639.2,0.0166077
1640.16,0.0188352
1641.13,0.0211885
1642.09,0.0235627
1643.05,0.0258387
1644.02,0.0279677
1644.98,0.029979
1645.95,0.0318585
1646.91,0.0333327
1647.88,0.0340352
1648.84,0.03405
1649.8,0.0337709
1650.77,0.033507
1651.73,0.0334882
1652.7,0.033905
1653.66,0.0345315
1654.62,0.0346364
1655.59,0.0340898
1656.55,0.0332721
1657.52,0.0324151
1658.48,0.0315796
1659.45,0.0307427
1660.41,0.0298166
1661.37,0.0286645
1662.34,0.027214
1663.3,0.0256083
1664.27,0.0241145
1665.23,0.0228653
1666.2,0.0218049
1667.16,0.0207711
1668.12,0.0195522
1669.09,0.017967
1670.05,0.0160695
1671.02,0.0142181
1671.98,0.0126944
1672.95,0.011445
1673.91,0.0102879
1674.87,0.00912512
1675.84,0.00798777
1676.8,0.00695958
1677.77,0.00607518
1678.73,0.00530072
1679.69,0.00458873
1680.66,0.00392546
1681.62,0.00335108
1682.59,0.00295887
1683.55,0.00281661
1684.52,0.00278416
1685.48,0.00259781
1686.44,0.00220931
1687.41,0.00173321
1688.37,0.00126355
1689.34,8.41E-04
1690.3,4.79E-04
1691.27,1.79E-04
1692.23,-5.83E-05
1693.19,-2.27E-04
1694.16,-3.13E-04
1695.12,-2.88E-04
1696.09,-1.12E-04
