Wavenumber (cm-1),Intensity
1504.2,0.0118797
1505.17,0.0106619
1506.13,0.00925128
1507.1,0.00737551
1508.06,0.00546552
1509.03,0.00428672
1509.99,0.00366636
1510.95,0.00324392
1511.92,0.00288331
1512.88,0.00256047
1513.85,0.00228333
1514.81,0.0020611
1515.78,0.00188915
1516.74,0.00174774
1517.7,0.00162182
1518.67,0.00153039
1519.63,0.00152761
1520.6,0.00165647
1521.56,0.00187985
1522.52,0.00207525
1523.49,0.00213887
1524.45,0.00207231
1525.42,0.00194786
1526.38,0.00183214
1527.35,0.00175003
1528.31,0.00169565
1529.27,0.00166042
1530.24,0.00164914
1531.2,0.00167879
1532.17,0.00176131
1533.13,0.00187005
1534.1,0.00192179
1535.06,0.00182932
1536.02,0.0015717
1536.99,0.00117874
1537.95,6.88E-04
1538.92,1.85E-04
1539.88,-5.04E-05
1540.85,7.09E-04
1541.81,0.00260209
1542.77,0.0038899
1543.74,0.004098
1544.7,0.00389204
1545.67,0.00364551
1546.63,0.00347273
1547.59,0.00339242
1548.56,0.00339183
1549.52,0.00344957
1550.49,0.00354248
1551.45,0.00364548
1552.42,0.00373266
1553.38,0.00378279
1554.34,0.00378643
1555.31,0.00375334
1556.27,0.00372861
1557.24,0.00383079
1558.2,0.00422268
1559.17,0.00479215
1560.13,0.00519998
1561.09,0.0054439
1562.06,0.00566976
1563.02,0.00594437
1563.99,0.00626511
1564.95,0.00660325
1565.92,0.00694701
1566.88,0.00734566
1567.84,0.00792348
1568.81,0.00878769
1569.77,0.0098416
1570.74,0.0107908
1571.7,0.0114345
1572.66,0.0118244
1573.63,0.0122101
1574.59,0.0129967
1575.56,0.0146585
1576.52,0.0172711
1577.49,0.0200639
1578.45,0.0222668
1579.41,0.0239746
1580.38,0.0256976
1581.34,0.0278412
1582.31,0.0305607
1583.27,0.0337284
1584.24,0.0369784
1585.2,0.0398716
1586.16,0.0420651
1587.13,0.0433371
1588.09,0.0435279
1589.06,0.0425455
1590.02,0.0404392
1590.99,0.0374266
1591.95,0.0338144
