Displacement;Gc (KJ/m²)
mm;KJ/m^2
23.02;0.2125
23.04;0.2164
23.05;0.2181
23.07;0.2221
23.09;0.2248
23.1;0.2279
23.12;0.2292
23.14;0.2328
23.15;0.2359
23.17;0.2391
23.19;0.2423
23.2;0.245
23.22;0.2486
23.24;0.2529
23.25;0.2535
23.27;0.2564
23.29;0.2582
23.3;0.2606
23.32;0.2631
23.34;0.2658
23.35;0.2692
23.37;0.2689
23.39;0.2723
23.4;0.2764
23.42;0.2787
23.44;0.2831
23.45;0.2866
23.47;0.2908
23.49;0.2933
23.5;0.2961
23.52;0.2985
23.54;0.3023
23.55;0.307
23.57;0.3104
23.59;0.3139
23.6;0.3178
23.62;0.3203
23.64;0.3244
23.65;0.3294
23.67;0.3316
23.69;0.337
23.7;0.3398
23.72;0.3426
23.74;0.3437
23.75;0.3461
23.77;0.3498
23.79;0.2452
23.8;0.172
23.82;0.1749
23.84;0.1781
23.85;0.1811
23.87;0.1836
23.89;0.1859
23.9;0.1898
23.92;0.1924
23.94;0.1946
23.95;0.1976
23.97;0.1972
23.99;0.1996
24;0.2013
24.02;0.2049
24.04;0.2081
24.05;0.2106
24.07;0.2155
24.09;0.2176
24.1;0.2204
24.12;0.2238
24.14;0.2276
24.16;0.23
24.17;0.2342
24.19;0.2358
24.21;0.2369
24.22;0.2399
24.24;0.2438
24.26;0.2487
24.27;0.2529
24.29;0.257
24.31;0.2613
24.32;0.2651
24.34;0.268
24.36;0.271
24.37;0.2754
24.39;0.2786
24.41;0.2827
24.42;0.2863
24.44;0.2877
24.46;0.2901
24.47;0.2914
24.49;0.2947
24.51;0.2994
24.52;0.302
24.54;0.3047
24.56;0.308
24.58;0.1668
24.59;0.1548
24.61;0.1562
24.63;0.1586
24.64;0.1608
24.66;0.1653
24.68;0.1693
24.69;0.1714
24.71;0.1748
24.73;0.1763
24.74;0.1797
24.76;0.1833
24.78;0.186
24.79;0.1896
24.81;0.1931
24.83;0.197
24.84;0.1994
24.86;0.201
24.88;0.2042
24.89;0.2075
24.91;0.211
24.93;0.2131
24.94;0.2152
24.96;0.2194
