Temperature (°C),Heat flow (W/g)
80.23,-0.224
80.25,-0.224
80.27,-0.224
80.28,-0.224
80.3,-0.224
80.32,-0.224
80.33,-0.224
80.35,-0.224
80.37,-0.224
80.38,-0.224
80.4,-0.224
80.42,-0.224
80.43,-0.224
80.45,-0.224
80.47,-0.224
80.48,-0.224
80.5,-0.224
80.52,-0.224
80.53,-0.224
80.55,-0.224
80.57,-0.224
80.58,-0.224
80.6,-0.224
80.62,-0.224
80.63,-0.224
80.65,-0.224
80.67,-0.224
80.68,-0.224
80.7,-0.224
80.72,-0.224
80.73,-0.224
80.75,-0.224
80.77,-0.224
80.78,-0.224
80.8,-0.224
80.82,-0.224
80.83,-0.224
80.85,-0.224
80.87,-0.224
80.88,-0.224
80.9,-0.224
80.92,-0.224
80.93,-0.224
80.95,-0.224
80.97,-0.224
80.98,-0.224
81.0,-0.224
81.02,-0.224
81.03,-0.224
81.05,-0.224
81.07,-0.224
81.08,-0.224
81.1,-0.224
81.12,-0.224
81.13,-0.224
81.15,-0.224
81.17,-0.224
81.18,-0.224
81.2,-0.224
81.22,-0.224
81.23,-0.224
81.25,-0.224
81.27,-0.225
81.28,-0.225
81.3,-0.225
81.32,-0.225
81.33,-0.225
81.35,-0.225
81.37,-0.225
81.38,-0.225
81.4,-0.225
81.42,-0.225
81.43,-0.225
81.45,-0.225
81.47,-0.225
81.48,-0.225
81.5,-0.225
81.52,-0.225
81.53,-0.225
81.55,-0.225
81.57,-0.225
81.58,-0.225
81.6,-0.225
81.62,-0.225
81.63,-0.225
81.65,-0.225
81.67,-0.225
81.68,-0.225
81.7,-0.225
81.72,-0.225
81.73,-0.225
81.75,-0.225
81.77,-0.225
81.78,-0.225
81.8,-0.225
81.82,-0.225
81.83,-0.225
81.85,-0.225
81.87,-0.225
81.88,-0.225
81.9,-0.225
81.92,-0.225
81.93,-0.225
81.95,-0.225
81.97,-0.225
81.98,-0.225
82.0,-0.225
82.02,-0.225
82.03,-0.225
82.05,-0.225
82.07,-0.225
82.08,-0.225
82.1,-0.225
82.11,-0.225
82.13,-0.225
82.15,-0.225
82.17,-0.225
82.18,-0.225
82.2,-0.225
82.21,-0.225
82.23,-0.225
82.25,-0.225
82.27,-0.225
82.28,-0.225
82.3,-0.225
82.31,-0.225
82.33,-0.225
82.35,-0.225
82.36,-0.225
82.38,-0.225
82.4,-0.225
82.42,-0.225
82.43,-0.225
82.45,-0.225
82.46,-0.225
82.48,-0.225
82.5,-0.225
82.51,-0.225
82.53,-0.225
82.55,-0.225
82.57,-0.225
82.58,-0.225
82.6,-0.225
82.61,-0.225
82.63,-0.225
82.65,-0.225
82.66,-0.225
82.68,-0.225
82.7,-0.225
82.72,-0.225
82.73,-0.225
82.75,-0.225
82.76,-0.225
82.78,-0.225
82.8,-0.225
82.82,-0.225
82.83,-0.225
82.85,-0.225
82.86,-0.225
82.88,-0.225
82.9,-0.225
82.91,-0.226
82.93,-0.226
82.95,-0.226
82.96,-0.226
82.98,-0.226
83.0,-0.226
83.01,-0.226
83.03,-0.226
83.05,-0.226
83.07,-0.226
83.08,-0.226
83.1,-0.226
83.11,-0.226
83.13,-0.226
83.15,-0.226
83.17,-0.226
83.18,-0.226
83.2,-0.226
83.22,-0.226
83.23,-0.226
83.25,-0.226
83.27,-0.226
83.28,-0.226
83.3,-0.226
83.31,-0.226
83.33,-0.226
83.35,-0.226
83.36,-0.226
83.38,-0.226
83.4,-0.226
83.42,-0.226
83.43,-0.226
83.45,-0.226
83.46,-0.226
83.48,-0.226
83.5,-0.226
83.52,-0.226
83.53,-0.226
83.55,-0.226
83.57,-0.226
83.58,-0.226
83.6,-0.226
83.62,-0.226
83.63,-0.226
83.65,-0.226
83.67,-0.226
83.68,-0.226
83.7,-0.226
83.72,-0.226
83.73,-0.226
83.75,-0.226
83.77,-0.226
83.78,-0.226
83.8,-0.226
83.82,-0.226
83.83,-0.226
83.85,-0.226
83.87,-0.226
83.88,-0.226
83.9,-0.226
83.92,-0.226
83.93,-0.226
83.95,-0.226
83.97,-0.226
83.98,-0.226
84.0,-0.226
84.02,-0.226
84.03,-0.226
84.05,-0.226
84.07,-0.226
84.08,-0.226
84.1,-0.226
84.12,-0.226
84.13,-0.226
84.15,-0.226
84.16,-0.226
84.18,-0.226
84.2,-0.226
84.22,-0.226
84.23,-0.226
84.25,-0.226
84.27,-0.226
84.28,-0.226
84.3,-0.226
84.31,-0.226
84.33,-0.226
84.35,-0.226
84.36,-0.226
84.38,-0.226
84.4,-0.226
84.42,-0.226
84.43,-0.226
84.45,-0.226
84.46,-0.226
84.48,-0.226
84.5,-0.226
84.52,-0.226
84.53,-0.226
84.55,-0.226
84.57,-0.226
84.58,-0.226
84.6,-0.226
84.62,-0.226
84.63,-0.226
84.65,-0.226
84.67,-0.227
84.68,-0.227
84.7,-0.227
84.71,-0.227
84.73,-0.227
84.75,-0.227
84.77,-0.227
84.78,-0.227
84.8,-0.227
84.81,-0.227
84.83,-0.227
84.85,-0.227
84.87,-0.227
84.88,-0.227
84.9,-0.227
84.91,-0.227
84.93,-0.227
84.95,-0.227
84.97,-0.227
84.98,-0.227
85.0,-0.227
85.02,-0.227
85.03,-0.227
85.05,-0.227
85.07,-0.227
85.08,-0.227
85.1,-0.227
85.12,-0.227
85.13,-0.227
85.15,-0.227
85.17,-0.227
85.18,-0.227
85.2,-0.227
85.22,-0.227
85.23,-0.227
85.25,-0.227
85.27,-0.227
85.28,-0.227
85.3,-0.227
85.32,-0.227
85.33,-0.227
85.35,-0.227
85.37,-0.227
85.38,-0.227
85.4,-0.227
85.42,-0.227
85.43,-0.227
85.45,-0.227
85.47,-0.227
85.48,-0.227
85.5,-0.227
85.52,-0.227
85.53,-0.227
85.55,-0.227
85.57,-0.227
85.58,-0.227
85.6,-0.227
85.62,-0.227
85.63,-0.227
85.65,-0.227
85.67,-0.227
85.68,-0.227
85.7,-0.227
85.72,-0.227
85.73,-0.227
85.75,-0.227
85.77,-0.227
85.78,-0.227
85.8,-0.227
85.82,-0.227
85.83,-0.227
85.85,-0.227
85.87,-0.227
85.88,-0.227
85.9,-0.227
85.92,-0.227
85.93,-0.227
85.95,-0.227
85.97,-0.227
85.98,-0.227
86.0,-0.227
86.02,-0.227
86.03,-0.227
86.05,-0.227
86.07,-0.227
86.08,-0.227
86.1,-0.227
86.11,-0.227
86.13,-0.227
86.15,-0.227
86.17,-0.227
86.18,-0.227
86.2,-0.227
86.22,-0.227
86.23,-0.227
86.25,-0.227
86.27,-0.227
86.28,-0.227
86.3,-0.227
86.32,-0.227
86.33,-0.227
86.35,-0.227
86.37,-0.227
86.38,-0.227
86.4,-0.227
86.42,-0.227
86.43,-0.227
86.45,-0.227
86.47,-0.227
86.48,-0.227
86.5,-0.227
86.52,-0.227
86.53,-0.227
86.55,-0.227
86.57,-0.228
86.58,-0.228
86.6,-0.228
86.62,-0.228
86.63,-0.228
86.65,-0.228
86.67,-0.228
86.68,-0.228
86.7,-0.228
86.72,-0.228
86.73,-0.228
86.75,-0.228
86.77,-0.228
86.78,-0.228
86.8,-0.228
86.82,-0.228
86.83,-0.228
86.85,-0.228
86.87,-0.228
86.88,-0.228
86.9,-0.228
86.92,-0.228
86.93,-0.228
86.95,-0.228
86.97,-0.228
86.98,-0.228
87.0,-0.228
87.02,-0.228
87.03,-0.228
87.05,-0.228
87.07,-0.228
87.08,-0.228
87.1,-0.228
87.12,-0.228
87.13,-0.228
87.15,-0.228
87.17,-0.228
87.18,-0.228
87.2,-0.228
87.22,-0.228
87.23,-0.228
87.25,-0.228
87.27,-0.228
87.28,-0.228
87.3,-0.228
87.32,-0.228
87.33,-0.228
87.35,-0.228
87.37,-0.228
87.38,-0.228
87.4,-0.228
87.42,-0.228
87.43,-0.228
87.45,-0.228
87.47,-0.228
87.48,-0.228
87.5,-0.228
87.52,-0.228
87.53,-0.228
87.55,-0.228
87.57,-0.228
87.58,-0.228
87.6,-0.228
87.62,-0.228
87.63,-0.228
87.65,-0.228
87.67,-0.228
87.68,-0.228
87.7,-0.228
87.72,-0.228
