Temperaturee (°C),Heat flow (W/g)
1.32,37.34,-0.12805954
1.32,37.36,-0.128070877
1.32,37.38,-0.128082245
1.33,37.39,-0.128092911
1.33,37.41,-0.128102829
1.33,37.43,-0.12811203
1.33,37.44,-0.12812175
1.33,37.46,-0.128133301
1.33,37.48,-0.128145264
1.33,37.49,-0.128158402
1.34,37.51,-0.128172546
1.34,37.53,-0.128186981
1.34,37.54,-0.128201965
1.34,37.56,-0.128216522
1.34,37.58,-0.128230286
1.34,37.59,-0.128242233
1.35,37.61,-0.128254166
1.35,37.63,-0.12826442
1.35,37.64,-0.128275513
1.35,37.66,-0.128285904
1.35,37.67,-0.128297089
1.36,37.69,-0.128309082
1.36,37.71,-0.128321365
1.36,37.72,-0.128333725
1.36,37.74,-0.12834613
1.36,37.76,-0.12835849
1.36,37.77,-0.128370575
1.37,37.79,-0.128382721
1.37,37.81,-0.128394806
1.37,37.82,-0.128407944
1.37,37.84,-0.128420731
1.37,37.86,-0.12843364
1.37,37.87,-0.128445633
1.38,37.89,-0.128457153
1.38,37.91,-0.12846875
1.38,37.92,-0.128481415
1.38,37.94,-0.128494858
1.38,37.96,-0.128508286
1.38,37.97,-0.128520737
1.38,37.99,-0.128532501
1.39,38.01,-0.128545395
1.39,38.02,-0.128558533
1.39,38.04,-0.128572098
1.39,38.06,-0.128585815
1.39,38.07,-0.128600037
1.39,38.09,-0.128612701
1.4,38.11,-0.128625748
1.4,38.12,-0.128638153
1.4,38.14,-0.128650208
1.4,38.16,-0.128660965
1.4,38.17,-0.128670975
1.41,38.19,-0.128682404
1.41,38.21,-0.128693085
1.41,38.22,-0.128704208
1.41,38.24,-0.128714676
1.41,38.26,-0.128726227
1.41,38.27,-0.128737625
1.42,38.29,-0.128749527
1.42,38.31,-0.128761307
1.42,38.32,-0.128773743
1.42,38.34,-0.128785736
1.42,38.36,-0.128797607
1.42,38.37,-0.128808624
1.43,38.39,-0.128820175
1.43,38.41,-0.128831207
1.43,38.42,-0.128842514
1.43,38.44,-0.128854157
1.43,38.46,-0.128866135
1.43,38.47,-0.12887822
1.43,38.49,-0.128889816
1.44,38.51,-0.128901794
1.44,38.52,-0.128912613
1.44,38.54,-0.128922806
1.44,38.56,-0.128933075
1.44,38.57,-0.128943924
1.44,38.59,-0.128955261
1.45,38.61,-0.128967606
1.45,38.62,-0.12897966
1.45,38.64,-0.128991226
1.45,38.66,-0.129003143
1.45,38.67,-0.129015305
1.46,38.69,-0.129027679
1.46,38.71,-0.129039429
1.46,38.72,-0.129051117
1.46,38.74,-0.129062408
1.46,38.76,-0.129073761
1.46,38.77,-0.129085587
1.47,38.79,-0.129098129
1.47,38.81,-0.129110779
1.47,38.82,-0.12912262
1.47,38.84,-0.129134766
1.47,38.86,-0.129146927
1.47,38.87,-0.129159256
1.48,38.89,-0.129171112
1.48,38.91,-0.129183456
1.48,38.92,-0.129195694
1.48,38.94,-0.129206909
1.48,38.96,-0.129217041
1.48,38.97,-0.129225678
1.48,38.99,-0.12923407
1.49,39.01,-0.129243301
1.49,39.02,-0.129252914
1.49,39.04,-0.129262253
1.49,39.06,-0.129271668
1.49,39.07,-0.129281952
1.49,39.09,-0.12929216
1.5,39.1,-0.129303268
1.5,39.12,-0.129314682
1.5,39.14,-0.129324554
1.5,39.16,-0.129333557
1.5,39.17,-0.129343262
1.51,39.19,-0.129353439
1.51,39.21,-0.129363419
1.51,39.22,-0.129372315
1.51,39.24,-0.12938237
